epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.844,0.99111,2.05441,1.3689,0.70129,0.72747,0.75945,0.56589,0.9903,1.20051,1.38258,0.000237156,0.000237156,0.000237156
2,796.655,1.00993,1.28246,1.35068,0.73346,0.76054,0.76815,0.55514,1.07362,1.22491,1.4949,0.000465748,0.000465748,0.000465748
3,1418.01,1.03824,1.2594,1.3827,0.77638,0.73339,0.79122,0.59932,0.95294,1.09242,1.36591,0.000684915,0.000684915,0.000684915
4,2062.11,1.00163,1.18685,1.34655,0.75425,0.79838,0.80188,0.60187,0.93333,1.04656,1.33305,0.000671588,0.000671588,0.000671588
5,2779.02,0.97035,1.07656,1.32442,0.7999,0.82728,0.86545,0.67236,0.87612,0.8008,1.29313,0.000657451,0.000657451,0.000657451
6,3474.41,0.93543,1.0365,1.30442,0.81594,0.80116,0.84316,0.64563,0.89075,0.954,1.30097,0.000643314,0.000643314,0.000643314
7,3761.06,0.90762,0.96533,1.28279,0.81077,0.81785,0.85156,0.67683,0.83041,0.85222,1.24342,0.000629177,0.000629177,0.000629177
8,4194.97,0.87158,0.91704,1.262,0.8764,0.80637,0.86407,0.67353,0.86366,0.77715,1.28045,0.00061504,0.00061504,0.00061504
9,4560.64,0.85961,0.90751,1.25336,0.90361,0.78746,0.86409,0.68669,0.82692,0.75554,1.23257,0.000600902,0.000600902,0.000600902
10,4976.82,0.84794,0.86592,1.24425,0.84447,0.83187,0.86901,0.69189,0.81162,0.73484,1.23508,0.000586765,0.000586765,0.000586765
11,5363.16,0.83628,0.84174,1.23487,0.83353,0.84608,0.87886,0.70031,0.79318,0.73081,1.2169,0.000572628,0.000572628,0.000572628
12,5756.61,0.81039,0.80756,1.22024,0.86425,0.8411,0.88581,0.72133,0.76836,0.69167,1.18576,0.000558491,0.000558491,0.000558491
13,6067.16,0.80855,0.78895,1.21583,0.87448,0.85149,0.90152,0.73273,0.76057,0.60707,1.17819,0.000544354,0.000544354,0.000544354
14,6404.56,0.79657,0.77198,1.20846,0.87096,0.86665,0.91591,0.75447,0.75014,0.62626,1.17066,0.000530216,0.000530216,0.000530216
15,6738.83,0.77767,0.73848,1.19627,0.87852,0.8806,0.9118,0.75477,0.72551,0.59036,1.14617,0.000516079,0.000516079,0.000516079
16,7106.54,0.77897,0.73383,1.19418,0.87015,0.87363,0.91079,0.75355,0.73847,0.60173,1.14032,0.000501942,0.000501942,0.000501942
17,7468.19,0.76639,0.71031,1.18656,0.89079,0.86407,0.92317,0.75801,0.74009,0.57694,1.14406,0.000487805,0.000487805,0.000487805
18,7776.94,0.76476,0.71119,1.1852,0.83706,0.8626,0.89635,0.72746,0.72102,0.66612,1.14792,0.000473668,0.000473668,0.000473668
19,8185.03,0.74562,0.69006,1.17582,0.92168,0.83272,0.92203,0.77432,0.68324,0.57378,1.11153,0.00045953,0.00045953,0.00045953
20,8588.04,0.72783,0.65982,1.16023,0.89125,0.8833,0.93218,0.78023,0.67298,0.52329,1.09247,0.000445393,0.000445393,0.000445393
21,9011.79,0.73716,0.66276,1.1708,0.88949,0.89388,0.93446,0.77738,0.71503,0.53241,1.13054,0.000431256,0.000431256,0.000431256
22,9469.89,0.73936,0.65552,1.16504,0.89871,0.89476,0.93085,0.78182,0.69366,0.52388,1.11596,0.000417119,0.000417119,0.000417119
23,9841.35,0.70788,0.63206,1.15184,0.90189,0.89084,0.93931,0.78384,0.69848,0.51392,1.11831,0.000402982,0.000402982,0.000402982
24,10284.8,0.71669,0.62813,1.15344,0.92439,0.90237,0.94271,0.79915,0.66067,0.48289,1.08266,0.000388844,0.000388844,0.000388844
25,10661.3,0.7086,0.6076,1.14288,0.89144,0.88342,0.92271,0.78019,0.66808,0.53169,1.08314,0.000374707,0.000374707,0.000374707
26,10991.5,0.69007,0.59639,1.13696,0.92385,0.88495,0.93849,0.79647,0.65072,0.49125,1.07757,0.00036057,0.00036057,0.00036057
27,11381.3,0.6811,0.58517,1.12622,0.92271,0.88471,0.94173,0.79741,0.64709,0.49338,1.07477,0.000346433,0.000346433,0.000346433
28,11693.6,0.6862,0.581,1.13264,0.91121,0.88992,0.94537,0.80946,0.62382,0.46233,1.05534,0.000332296,0.000332296,0.000332296
29,12104.7,0.67764,0.57536,1.12841,0.90038,0.9046,0.93878,0.79769,0.63676,0.48452,1.06744,0.000318158,0.000318158,0.000318158
30,12500.1,0.66231,0.54674,1.11555,0.90608,0.9179,0.95116,0.81946,0.62534,0.4337,1.05497,0.000304021,0.000304021,0.000304021
31,12879,0.66736,0.55069,1.1152,0.91951,0.8865,0.94852,0.82115,0.61414,0.46914,1.0396,0.000289884,0.000289884,0.000289884
32,13321.4,0.65943,0.54534,1.1169,0.90031,0.92497,0.95305,0.81757,0.62439,0.4333,1.05271,0.000275747,0.000275747,0.000275747
33,13744.3,0.64818,0.52386,1.1055,0.91614,0.89675,0.9515,0.82834,0.58202,0.44241,1.02478,0.00026161,0.00026161,0.00026161
34,14097.9,0.63973,0.52102,1.09809,0.91931,0.92396,0.95685,0.83509,0.57525,0.40574,1.01666,0.000247472,0.000247472,0.000247472
35,14456.5,0.63106,0.50601,1.09581,0.92599,0.91534,0.95318,0.82422,0.60696,0.41616,1.03736,0.000233335,0.000233335,0.000233335
36,14865,0.63562,0.51573,1.10032,0.91906,0.92722,0.95345,0.8326,0.59472,0.41747,1.02678,0.000219198,0.000219198,0.000219198
37,15136.8,0.62525,0.49947,1.09027,0.93482,0.92633,0.96214,0.84229,0.58558,0.39609,1.02087,0.000205061,0.000205061,0.000205061
38,15532.6,0.63335,0.5025,1.09776,0.93831,0.90673,0.9605,0.83608,0.58188,0.40827,1.0155,0.000190924,0.000190924,0.000190924
39,15924.2,0.6134,0.48167,1.08313,0.92668,0.91259,0.96105,0.84007,0.57176,0.38644,1.00335,0.000176786,0.000176786,0.000176786
40,16281.3,0.60365,0.46803,1.07469,0.94202,0.89857,0.95803,0.8357,0.59406,0.40499,1.01032,0.000162649,0.000162649,0.000162649
41,16679,0.54414,0.38976,1.05849,0.94564,0.88671,0.95483,0.83976,0.56606,0.40685,0.99476,0.000148512,0.000148512,0.000148512
42,17084.9,0.53609,0.38567,1.04454,0.90906,0.93588,0.95833,0.84145,0.57282,0.40915,1.00397,0.000134375,0.000134375,0.000134375
43,17373.7,0.52859,0.3684,1.04201,0.94352,0.90725,0.96236,0.84804,0.55639,0.3925,0.99209,0.000120238,0.000120238,0.000120238
44,17827.2,0.52211,0.37195,1.03514,0.92092,0.9216,0.9622,0.84419,0.56292,0.38701,0.99591,0.0001061,0.0001061,0.0001061
45,18138.1,0.51032,0.35411,1.02967,0.92285,0.93042,0.9626,0.84872,0.55201,0.37661,0.98327,9.19632e-05,9.19632e-05,9.19632e-05
46,18563.6,0.5075,0.33984,1.02378,0.94107,0.92053,0.96774,0.85559,0.54497,0.37358,0.97733,7.7826e-05,7.7826e-05,7.7826e-05
47,18930.8,0.49578,0.33138,1.01688,0.95127,0.90624,0.96146,0.85368,0.53695,0.3755,0.97313,6.36888e-05,6.36888e-05,6.36888e-05
48,19242.6,0.4848,0.32455,1.01068,0.93009,0.92268,0.96484,0.85783,0.53211,0.36781,0.96575,4.95516e-05,4.95516e-05,4.95516e-05
49,19604.7,0.4843,0.3164,1.00531,0.92594,0.92564,0.96308,0.85789,0.5287,0.36666,0.96328,3.54144e-05,3.54144e-05,3.54144e-05
50,19897.7,0.47127,0.30755,0.99625,0.92772,0.92928,0.96545,0.85978,0.52488,0.36169,0.9612,2.12772e-05,2.12772e-05,2.12772e-05
